Album,Design ID,Design Caption,Pin ID,Design URL
Angels,4885,Angel,="257127459971754996",https://www.cross-stitch.com/Angel-21-31-Free-Design.aspx
Animals,4596,Rabbit,="257127459971766107",https://www.cross-stitch.com/Rabbit-37-226-Free-Design.aspx
Animals,4645,Cow,="257127459971764224",https://www.cross-stitch.com/Cow-37-230-Free-Design.aspx
Animals,4665,Panda,="257127459971763333",https://www.cross-stitch.com/Panda-37-232-Free-Design.aspx
Animals,4685,Young Tiger,="257127459971762224",https://www.cross-stitch.com/Young-Tiger-37-234-Free-Design.aspx
Animals,4715,Orangutan,="257127459971761376",https://www.cross-stitch.com/Orangutan-37-235-Free-Design.aspx
Animals,4730,Rhino,="257127459971760774",https://www.cross-stitch.com/Rhino-37-237-Free-Design.aspx
Animals,4785,Guinea Pig,="257127459971758769",https://www.cross-stitch.com/Guinea-Pig-37-243-Free-Design.aspx
Animals,4795,Hamster,="257127459971758280",https://www.cross-stitch.com/Hamster-37-244-Free-Design.aspx
Animals,4805,Pandas,="257127459971757865",https://www.cross-stitch.com/Pandas-37-247-Free-Design.aspx
Animals,4870,Deer,="257127459971755605",https://www.cross-stitch.com/Deer-37-257-Free-Design.aspx
Animals,4995,Wolf,="257127459971750650",https://www.cross-stitch.com/Wolf-37-270-Free-Design.aspx
Animals,5015,Rabbit,="257127459971750027",https://www.cross-stitch.com/Rabbit-37-275-Free-Design.aspx
Animals,5020,Deer,="257127459971749735",https://www.cross-stitch.com/Deer-37-276-Free-Design.aspx
Animals,5075,Lama,="257127459971747067",https://www.cross-stitch.com/Lama-37-281-Free-Design.aspx
Birds,4705,Bird,="257127459971761721",https://www.cross-stitch.com/Bird-9-180-Free-Design.aspx
Birds,4710,Owl,="257127459971761594",https://www.cross-stitch.com/Owl-9-181-Free-Design.aspx
Birds,4725,Peacock,="257127459971761010",https://www.cross-stitch.com/Peacock-9-185-Free-Design.aspx
Birds,4745,Bullfinch,="257127459971760158",https://www.cross-stitch.com/Bullfinch-9-187-Free-Design.aspx
Birds,4855,Bird,="257127459971756167",https://www.cross-stitch.com/Bird-9-195-Free-Design.aspx
Birds,4920,Goose,="257127459971753730",https://www.cross-stitch.com/Goose-9-198-Free-Design.aspx
Birds,4925,Owl,="257127459971753556",https://www.cross-stitch.com/Owl-9-201-Free-Design.aspx
Birds,4930,Bird,="257127459971753402",https://www.cross-stitch.com/Bird-9-205-Free-Design.aspx
Birds,4940,Swallow,="257127459971753059",https://www.cross-stitch.com/Swallow-9-209-Free-Design.aspx
Birds,4945,Bird,="257127459971752861",https://www.cross-stitch.com/Bird-9-213-Free-Design.aspx
Birds,4950,Swallow,="257127459971752650",https://www.cross-stitch.com/Swallow-9-215-Free-Design.aspx
Birds,4970,Gull,="257127459971751616",https://www.cross-stitch.com/Gull-9-219-Free-Design.aspx
Birds,5000,Eagle,="257127459971750577",https://www.cross-stitch.com/Eagle-9-225-Free-Design.aspx
Birds,5005,Parrot,="257127459971750443",https://www.cross-stitch.com/Parrot-9-227-Free-Design.aspx
Birds,5030,Kingfisher,="257127459971749255",https://www.cross-stitch.com/Kingfisher-9-233-Free-Design.aspx
